AREACD,Voters,Rejected,Party,Candidate(s),Votes,Votes 0,Sample counts 0,Swing,Margins
CHUA CHU KANG,106632,1410,Progress Singapore Party,"Francis Yuen
Abdul Rahman Mohamad
Tan Meng Wah
Choo Shaun Ming","42,012",41.36 / 100,41 / 100,N/A,17.280
EAST COAST,121644,1393,People's Action Party,"Heng Swee Keat
Maliki Osman
Tan Kiat How
Cheryl Chan
Jessica Tan","61,144",53.39 / 100,54 / 100,7.34,6.780
EAST COAST,121644,1393,Workers' Party,"Nicole Seah
Kenneth Foo
Dylan Ng
Abdul Shariff Aboo Kassim
Terence Tan","53,375",46.61 / 100,46 / 100,7.34,6.780
HOLLAND-BUKIT TIMAH,114973,1999,People's Action Party,"Vivian Balakrishnan
Sim Ann
Christopher de Souza
Edward Chia","71,218",66.36 / 100,68 / 100,0.24,32.720
HOLLAND-BUKIT TIMAH,114973,1999,Singapore Democratic Party,"Tan Jee Say
James Gomez
Min Cheong
Alfred Tan","36,100",33.64 / 100,32 / 100,0.24,32.720
HONG KAH NORTH,28046,403,People's Action Party,Amy Khor,"16,347",60.99 / 100,63 / 100,13.77,21.980
HONG KAH NORTH,28046,403,Progress Singapore Party,Gigene Wong,"10,457",39.01 / 100,37 / 100,13.77,21.980
HOUGANG,26432,272,Workers' Party,Dennis Tan,"15,451",61.21 / 100,58 / 100,3.52,22.420
HOUGANG,26432,272,People's Action Party,Lee Hong Chuang,"9,791",38.79 / 100,42 / 100,3.52,22.420
JALAN BESAR,107720,2948,People's Action Party,"Josephine Teo
Heng Chee How
Denise Phua
Wan Rizal Wan Zakariah","64,631",65.36 / 100,67 / 100,2.37,30.720
JALAN BESAR,107720,2948,Peoples Voice,"Lim Tean
Michael Fang Amin
Leong Sze Hian
Nor Azlan Sulaiman","34,261",34.64 / 100,33 / 100,N/A,30.720
JURONG,131058,2519,People's Action Party,"Tharman Shanmugaratnam
Tan Wu Meng
Rahayu Mahzam
Shawn Huang
Xie Yao Quan","91,846",74.61 / 100,75 / 100,4.67,49.220
JURONG,131058,2519,Red Dot United,"Michelle Lee Juen
Ravi Philemon
Nicholas Tang
Liyana Dhamirah
Alec Tok","31,260",25.39 / 100,25 / 100,N/A,49.220
KEBUN BARU,22623,387,People's Action Party,Henry Kwek,"13,309",62.92 / 100,68 / 100,N/A,25.840
KEBUN BARU,22623,387,Progress Singapore Party,Kumaran Pillai,"7,842",37.08 / 100,32 / 100,N/A,25.840
MACPHERSON,28513,625,People's Action Party,Tin Pei Ling,"19,009",71.74 / 100,73 / 100,6.16,43.480
MACPHERSON,28513,625,People's Power Party,Goh Meng Seng,"7,489",28.26 / 100,27 / 100,N/A,43.480
MARINE PARADE,139622,1789,People's Action Party,"Tan Chuan-Jin
Edwin Tong
Seah Kian Peng
Tan See Leng
Mohd Fahmi Aliman","75,203",57.74 / 100,57 / 100,6.33,15.520
MARINE PARADE,139622,1789,Workers' Party,"Yee Jenn Jong
Ron Tan
Nathaniel Koh
Muhammad Fadli Bin
Muhammad Azhar Bin Abdul Latip","55,047",42.26 / 100,43 / 100,6.33,15.520
MARSILING-YEW TEE,117077,2097,People's Action Party,"Lawrence Wong
Alex Yam
Zaqy Mohamad
Hany Soh","69,813",63.18 / 100,64 / 100,5.55,26.360
MARSILING-YEW TEE,117077,2097,Singapore Democratic Party,"Benjamin Pwee
Bryan Lim
Damanhuri Abas
Khung Wai Yeen","40,690",36.82 / 100,36 / 100,5.55,26.360
MARYMOUNT,23431,305,People's Action Party,Gan Siow Huang,"12,173",55.04 / 100,54 / 100,N/A,10.080
MARYMOUNT,23431,305,Progress Singapore Party,Ang Yong Guan,"9,943",44.96 / 100,46 / 100,N/A,10.080
MOUNTBATTEN,24246,589,People's Action Party,Lim Biow Chuan,"16,285",73.82 / 100,75 / 100,1.96,47.640
MOUNTBATTEN,24246,589,Peoples Voice,Sivakumaran Chellappa,"5,775",26.18 / 100,25 / 100,N/A,47.640
NEE SOON,146902,2200,People's Action Party,"K. Shanmugam
Carrie Tan
Derrick Goh
Louis Ng
Muhammad Faishal Ibrahim","86,308",61.90 / 100,61 / 100,4.93,23.800
NEE SOON,146902,2200,Progress Singapore Party,"Kala Manickam
Taufik Supan
Bradley Bowyer
Sri Nallakaruppan
Damien Tay","53,131",38.10 / 100,39 / 100,N/A,23.800
PASIR RIS-PUNGGOL,166556,3395,People's Action Party,"Teo Chee Hean
Janil Puthucheary
Mohamed Sharael Taha
Yeo Wan Ling
Desmond Tan","100,932",64.16 / 100,63 / 100,8.73,40.490
PASIR RIS-PUNGGOL,166556,3395,Singapore Democratic Alliance,"Desmond Lim
Abu Mohamed
Halminder Pal Singh
Kelvin Ong
Kuswadi Atnawi","37,237",23.67 / 100,25 / 100,3.44,40.490
PASIR RIS-PUNGGOL,166556,3395,"Peoples Voice
(Loses $67,500 deposit)","Jireh Lim
Prabu Ramachandran
Mohamed Nassir Ismail
Goh Keow Wah
Vigneswari Ramachandran","19,147",12.17 / 100,12 / 100,N/A,40.490
PIONEER,24653,350,People's Action Party,Patrick Tay,"14,593",62.00 / 100,66 / 100,14.34,26.780
PIONEER,24653,350,Progress Singapore Party,Lim Cher Hong,"8,289",35.22 / 100,32 / 100,N/A,26.780
PIONEER,24653,350,"Independent
(Loses $13,500 deposit)",Cheang Peng Wah,655,2.78 / 100,2 / 100,N/A,26.780
POTONG PASIR,19731,279,People's Action Party,Sitoh Yih Pin,"11,264",60.67 / 100,61 / 100,5.74,21.340
POTONG PASIR,19731,279,Singapore People's Party,Jose Raymond,"7,302",39.33 / 100,39 / 100,5.74,21.340
PUNGGOL WEST,26587,217,People's Action Party,Sun Xueling,"15,655",60.98 / 100,65 / 100,N/A,21.960
PUNGGOL WEST,26587,217,Workers' Party,Tan Chen Chen,"10,017",39.02 / 100,35 / 100,N/A,21.960
RADIN MAS,24931,818,People's Action Party,Melvin Yong,"16,864",74.01 / 100,76 / 100,3.24,48.020
RADIN MAS,24931,818,Reform Party,Kumar Appavoo,"5,922",25.99 / 100,24 / 100,3.24,48.020
SEMBAWANG,147786,2948,People's Action Party,"Ong Ye Kung
Vikram Nair
Lim Wee Kiak
Poh Li San
Mariam Jaafar","94,176",67.29 / 100,69 / 100,4.99,34.580
SEMBAWANG,147786,2948,National Solidarity Party,"Spencer Ng
Sebastian Teo
Sathin Ravindran
Ivan Yeo
Yadzeth Hairis","45,778",32.71 / 100,31 / 100,4.99,34.580
SENGKANG,120100,1194,Workers' Party,"He Ting Ru
Louis Chua
Jamus Lim
Raeesah Khan","60,217",52.12 / 100,53 / 100,N/A,4.240
SENGKANG,120100,1194,People's Action Party,"Ng Chee Meng
Lam Pin Min
Amrin Amin
Raymond Lye","55,319",47.88 / 100,47 / 100,N/A,4.240
TAMPINES,151589,3521,People's Action Party,"Masagos Zulkifli
Baey Yam Keng
Desmond Choo
Cheng Li Hui
Koh Poh Koon","94,668",66.41 / 100,67 / 100,5.65,32.820
TAMPINES,151589,3521,National Solidarity Party,"Reno Fong
Mohd Ridzwan Mohammad
Yeo Ren-Yuan
Choong Hon Heng
Vincent Ng","47,875",33.59 / 100,33 / 100,5.65,32.820
TANJONG PAGAR,134494,1933,People's Action Party,"Chan Chun Sing
Indranee Rajah
Joan Pereira
Eric Chua Swee Leong
Alvin Tan","78,330",63.10 / 100,63 / 100,14.61,26.200
TANJONG PAGAR,134494,1933,Progress Singapore Party,"Wendy Low
Harish Pillay
Michael Chua Teck Leong
A’bas Kasmani
Terence Soon","45,807",36.90 / 100,37 / 100,14.61,26.200
WEST COAST,146089,1646,People's Action Party,"S. Iswaran
Desmond Lee
Foo Mee Har
Rachel Ong
Ang Wei Neng","71,658",51.68 / 100,52 / 100,26.89,3.360
WEST COAST,146089,1646,Progress Singapore Party,"Tan Cheng Bock
Leong Mun Wai
Hazel Poa
Nadarajah Loganathan
Jeffrey Khoo","66,996",48.32 / 100,48 / 100,N/A,3.360
YIO CHU KANG,25962,413,People's Action Party,Yip Hon Weng,"14,775",60.82 / 100,61 / 100,N/A,21.640
YIO CHU KANG,25962,413,Progress Singapore Party,Kayla Low,"9,519",39.18 / 100,39 / 100,N/A,21.640
YUHUA,21351,406,People's Action Party,Grace Fu,"14,131",70.54 / 100,69 / 100,3,41.080
YUHUA,21351,406,Singapore Democratic Party,Robin Low,"5,901",29.46 / 100,31 / 100,3,41.080
